# 1 583 1 1
  7.6941e+14  1.27981e+22  5.70000e+01
  7.6949e+14  1.32435e+22  5.90000e+01
  7.6956e+14  1.16737e+22  5.20000e+01
  7.6964e+14  1.48122e+22  6.60000e+01
  7.6972e+14  1.61592e+22  7.20000e+01
  7.6979e+14  1.39133e+22  6.20000e+01
  7.6987e+14  1.77264e+22  7.90000e+01
  7.6995e+14  2.37814e+22  1.06000e+02
  7.7002e+14  3.07292e+22  1.37000e+02
  7.7010e+14  3.38719e+22  1.51000e+02
  7.7018e+14  4.17164e+22  1.86000e+02
  7.7026e+14  4.82137e+22  2.15000e+02
  7.7033e+14  5.42692e+22  2.42000e+02
  7.7041e+14  6.09935e+22  2.72000e+02
  7.7049e+14  7.30960e+22  3.26000e+02
  7.7056e+14  7.84736e+22  3.50000e+02
  7.7064e+14  8.40744e+22  3.75000e+02
  7.7072e+14  7.98096e+22  3.56000e+02
  7.7079e+14  8.49617e+22  3.79000e+02
  7.7087e+14  6.79145e+22  3.03000e+02
  7.7095e+14  7.62042e+22  3.40000e+02
  7.7103e+14  7.59704e+22  3.39000e+02
  7.7110e+14  6.36364e+22  2.84000e+02
  7.7118e+14  6.27403e+22  2.80000e+02
  7.7126e+14  5.39921e+22  2.41000e+02
  7.7133e+14  6.18278e+22  2.76000e+02
  7.7141e+14  5.59968e+22  2.50000e+02
  7.7149e+14  4.97203e+22  2.22000e+02
  7.7157e+14  5.06098e+22  2.26000e+02
  7.7164e+14  5.01562e+22  2.24000e+02
  7.7172e+14  5.91062e+22  2.64000e+02
  7.7180e+14  5.19343e+22  2.32000e+02
  7.7187e+14  5.57385e+22  2.49000e+02
  7.7195e+14  6.17768e+22  2.76000e+02
  7.7203e+14  6.22188e+22  2.78000e+02
  7.7211e+14  4.99060e+22  2.23000e+02
  7.7218e+14  5.66142e+22  2.53000e+02
  7.7226e+14  5.88472e+22  2.63000e+02
  7.7234e+14  5.66080e+22  2.53000e+02
